district,2017_rmse,2017_performance,2018_rmse,2018_performance,2019_rmse,2019_performance,2022_rmse,2022_performance
BAGALKOTE,6.62,Bad,3.09,Bad,7.07,Bad,5.21,Bad
BALLARI,10.41,Bad,4.2,Bad,4.7,Bad,3.29,Bad
BELAGAVI,2.05,Bad,2.19,Bad,2.16,Bad,7.35,Bad
BENGALURU RURAL,0.79,Good,0.75,Good,1.29,Good,2.88,Bad
BENGALURU URBAN,1.09,Good,1.05,Good,3.79,Bad,1.95,Good
BIDAR,5.31,Bad,4.04,Bad,10.36,Bad,3.81,Bad
CHAMARAJANAGARA,3.02,Bad,2.35,Bad,10.71,Bad,5.68,Bad
CHIKKABALLAPURA,2.39,Bad,3.61,Bad,5.7,Bad,7.98,Bad
CHIKKAMAGALURU,6.62,Bad,2.24,Bad,5.0,Bad,3.41,Bad
CHITRADURGA,8.19,Bad,6.28,Bad,6.85,Bad,5.53,Bad
DAKSHINA KANNADA,7.99,Bad,13.34,Bad,48.43,Bad,15.58,Bad
DAVANGERE,20.36,Bad,4.49,Bad,5.64,Bad,3.02,Bad
DHARWAD,2.59,Bad,2.6,Bad,1.93,Good,6.28,Bad
GADAG,3.5,Bad,3.08,Bad,4.11,Bad,2.92,Bad
HASSAN,3.74,Bad,8.29,Bad,8.22,Bad,6.36,Bad
HAVERI,7.0,Bad,2.93,Bad,7.34,Bad,3.86,Bad
KALABURAGI,28.78,Bad,19.39,Bad,7.96,Bad,7.3,Bad
KODAGU,8.68,Bad,1.54,Good,1.62,Good,1.22,Good
KOLAR,7.88,Bad,3.59,Bad,4.63,Bad,4.75,Bad
KOPPAL,3.99,Bad,3.96,Bad,6.2,Bad,2.79,Bad
MANDYA,2.7,Bad,2.73,Bad,2.11,Bad,7.23,Bad
MYSURU,24.05,Bad,6.32,Bad,6.3,Bad,13.99,Bad
RAICHUR,3.4,Bad,1.93,Good,1.4,Good,1.76,Good
RAMANAGARA,8.4,Bad,1.34,Good,1.93,Good,4.01,Bad
SHIVAMOGGA,10.58,Bad,5.32,Bad,10.65,Bad,5.75,Bad
TUMAKURU,15.72,Bad,4.93,Bad,3.83,Bad,5.07,Bad
UDUPI,5.1,Bad,5.89,Bad,4.21,Bad,10.68,Bad
UTTARA KANNADA,1.18,Good,2.04,Bad,1.28,Good,1.45,Good
VIJAYANAGAR,0.28,Good,0.25,Good,0.29,Good,1.99,Good
VIJAYAPURA,5.43,Bad,6.21,Bad,11.65,Bad,7.24,Bad
YADGIR,2.37,Bad,1.99,Good,5.36,Bad,2.22,Bad
