district,2017_rmse,2017_performance,2018_rmse,2018_performance,2019_rmse,2019_performance,2022_rmse,2022_performance
BAGALKOTE,6.2,Bad,3.41,Bad,6.96,Bad,5.07,Bad
BALLARI,10.3,Bad,3.9,Bad,4.2,Bad,3.33,Bad
BELAGAVI,1.96,Good,1.84,Good,2.03,Bad,7.35,Bad
BENGALURU RURAL,0.69,Good,0.86,Good,1.28,Good,2.9,Bad
BENGALURU URBAN,1.14,Good,1.04,Good,3.81,Bad,1.89,Good
BIDAR,5.1,Bad,3.46,Bad,10.21,Bad,3.13,Bad
CHAMARAJANAGARA,2.77,Bad,2.3,Bad,10.68,Bad,5.75,Bad
CHIKKABALLAPURA,2.51,Bad,2.72,Bad,5.74,Bad,7.99,Bad
CHIKKAMAGALURU,6.63,Bad,2.55,Bad,4.96,Bad,3.41,Bad
CHITRADURGA,8.8,Bad,5.42,Bad,7.16,Bad,5.33,Bad
DAKSHINA KANNADA,11.05,Bad,12.66,Bad,48.7,Bad,8.57,Bad
DAVANGERE,20.38,Bad,4.15,Bad,5.59,Bad,3.3,Bad
DHARWAD,2.43,Bad,2.22,Bad,1.95,Good,6.37,Bad
GADAG,3.37,Bad,2.44,Bad,3.98,Bad,2.39,Bad
HASSAN,3.41,Bad,8.4,Bad,7.95,Bad,6.25,Bad
HAVERI,7.06,Bad,2.89,Bad,7.58,Bad,3.8,Bad
KALABURAGI,28.69,Bad,18.31,Bad,7.82,Bad,7.03,Bad
KODAGU,8.72,Bad,1.57,Good,1.61,Good,1.16,Good
KOLAR,7.85,Bad,3.57,Bad,4.76,Bad,4.75,Bad
KOPPAL,4.11,Bad,4.02,Bad,6.4,Bad,2.73,Bad
MANDYA,2.52,Bad,2.29,Bad,2.09,Bad,7.24,Bad
MYSURU,23.93,Bad,6.66,Bad,5.53,Bad,12.78,Bad
RAICHUR,3.31,Bad,1.99,Good,1.36,Good,1.75,Good
RAMANAGARA,8.33,Bad,1.46,Good,1.95,Good,3.95,Bad
SHIVAMOGGA,10.76,Bad,5.59,Bad,10.73,Bad,5.49,Bad
TUMAKURU,15.58,Bad,3.76,Bad,3.86,Bad,2.3,Bad
UDUPI,4.91,Bad,5.35,Bad,3.29,Bad,10.57,Bad
UTTARA KANNADA,1.15,Good,2.07,Bad,1.32,Good,1.42,Good
VIJAYANAGAR,0.29,Good,0.26,Good,0.3,Good,1.99,Good
VIJAYAPURA,5.15,Bad,5.63,Bad,11.71,Bad,6.82,Bad
YADGIR,2.28,Bad,2.06,Bad,5.41,Bad,2.18,Bad
