district,2017_rmse,2017_performance,2018_rmse,2018_performance,2019_rmse,2019_performance,2022_rmse,2022_performance
BAGALKOTE,5.65,Bad,4.79,Bad,5.61,Bad,4.73,Bad
BALLARI,10.29,Bad,4.23,Bad,3.74,Bad,4.01,Bad
BELAGAVI,3.17,Bad,2.62,Bad,2.28,Bad,7.38,Bad
BENGALURU RURAL,1.2,Good,1.24,Good,1.37,Good,2.89,Bad
BENGALURU URBAN,1.9,Good,1.54,Good,3.7,Bad,1.81,Good
BIDAR,5.19,Bad,4.38,Bad,10.28,Bad,4.54,Bad
CHAMARAJANAGARA,4.56,Bad,3.41,Bad,10.29,Bad,5.53,Bad
CHIKKABALLAPURA,4.12,Bad,4.51,Bad,5.22,Bad,7.77,Bad
CHIKKAMAGALURU,5.74,Bad,3.76,Bad,4.69,Bad,3.53,Bad
CHITRADURGA,7.32,Bad,7.2,Bad,5.79,Bad,5.05,Bad
DAKSHINA KANNADA,23.16,Bad,14.15,Bad,48.15,Bad,13.26,Bad
DAVANGERE,20.47,Bad,6.34,Bad,8.77,Bad,4.82,Bad
DHARWAD,3.45,Bad,2.37,Bad,2.0,Bad,6.38,Bad
GADAG,3.51,Bad,2.59,Bad,4.6,Bad,2.24,Bad
HASSAN,5.71,Bad,8.44,Bad,8.03,Bad,5.19,Bad
HAVERI,6.63,Bad,3.74,Bad,6.55,Bad,5.65,Bad
KALABURAGI,28.04,Bad,20.65,Bad,10.17,Bad,9.24,Bad
KODAGU,8.69,Bad,2.37,Bad,2.93,Bad,1.66,Good
KOLAR,8.1,Bad,6.39,Bad,4.12,Bad,4.72,Bad
KOPPAL,3.86,Bad,4.19,Bad,6.54,Bad,3.34,Bad
MANDYA,3.42,Bad,2.95,Bad,3.18,Bad,7.7,Bad
MYSURU,22.36,Bad,10.84,Bad,11.19,Bad,10.97,Bad
RAICHUR,3.38,Bad,1.86,Good,1.49,Good,1.76,Good
RAMANAGARA,8.23,Bad,2.37,Bad,2.41,Bad,3.84,Bad
SHIVAMOGGA,10.29,Bad,6.7,Bad,10.17,Bad,6.44,Bad
TUMAKURU,15.04,Bad,5.72,Bad,4.03,Bad,7.21,Bad
UDUPI,6.09,Bad,6.06,Bad,4.21,Bad,11.51,Bad
UTTARA KANNADA,1.38,Good,2.21,Bad,1.39,Good,1.46,Good
VIJAYANAGAR,0.68,Good,0.69,Good,0.71,Good,1.99,Good
VIJAYAPURA,5.95,Bad,7.17,Bad,10.88,Bad,7.04,Bad
YADGIR,2.64,Bad,2.33,Bad,5.8,Bad,2.46,Bad
