district,2017_rmse,2017_performance,2018_rmse,2018_performance,2019_rmse,2019_performance,2022_rmse,2022_performance
BAGALKOTE,6.23,Bad,3.13,Bad,7.61,Bad,5.66,Bad
BALLARI,10.5,Bad,4.46,Bad,4.38,Bad,3.05,Bad
BELAGAVI,2.21,Bad,1.9,Good,2.1,Bad,7.4,Bad
BENGALURU RURAL,0.64,Good,0.76,Good,1.35,Good,2.93,Bad
BENGALURU URBAN,1.09,Good,1.09,Good,3.89,Bad,1.94,Good
BIDAR,5.41,Bad,3.43,Bad,10.59,Bad,3.1,Bad
CHAMARAJANAGARA,2.83,Bad,2.1,Bad,10.82,Bad,5.93,Bad
CHIKKABALLAPURA,2.39,Bad,3.48,Bad,5.67,Bad,8.2,Bad
CHIKKAMAGALURU,6.98,Bad,2.58,Bad,5.23,Bad,3.54,Bad
CHITRADURGA,9.18,Bad,5.14,Bad,8.18,Bad,5.85,Bad
DAKSHINA KANNADA,9.91,Bad,14.45,Bad,49.54,Bad,7.97,Bad
DAVANGERE,20.69,Bad,3.78,Bad,5.13,Bad,2.91,Bad
DHARWAD,2.3,Bad,2.22,Bad,2.2,Bad,6.54,Bad
GADAG,3.44,Bad,2.43,Bad,4.13,Bad,2.51,Bad
HASSAN,3.0,Bad,8.6,Bad,8.18,Bad,6.53,Bad
HAVERI,7.37,Bad,3.09,Bad,7.87,Bad,3.53,Bad
KALABURAGI,29.38,Bad,18.38,Bad,7.99,Bad,8.21,Bad
KODAGU,8.82,Bad,1.34,Good,1.4,Good,1.26,Good
KOLAR,7.92,Bad,3.62,Bad,5.0,Bad,5.06,Bad
KOPPAL,4.09,Bad,4.38,Bad,6.9,Bad,2.73,Bad
MANDYA,2.42,Bad,2.45,Bad,2.11,Bad,7.46,Bad
MYSURU,24.21,Bad,6.02,Bad,5.35,Bad,13.49,Bad
RAICHUR,3.35,Bad,1.95,Good,1.38,Good,1.75,Good
RAMANAGARA,8.38,Bad,1.25,Good,1.95,Good,4.12,Bad
SHIVAMOGGA,11.23,Bad,4.92,Bad,11.38,Bad,5.77,Bad
TUMAKURU,15.75,Bad,3.25,Bad,4.36,Bad,2.61,Bad
UDUPI,4.89,Bad,5.13,Bad,4.12,Bad,10.51,Bad
UTTARA KANNADA,1.08,Good,2.17,Bad,1.43,Good,1.46,Good
VIJAYANAGAR,0.26,Good,0.26,Good,0.27,Good,1.99,Good
VIJAYAPURA,5.71,Bad,5.7,Bad,12.39,Bad,7.26,Bad
YADGIR,2.33,Bad,2.17,Bad,5.53,Bad,2.34,Bad
