district,2017_rmse,2017_performance,2018_rmse,2018_performance,2019_rmse,2019_performance,2022_rmse,2022_performance
BAGALKOTE,6.21,Bad,3.47,Bad,7.73,Bad,5.06,Bad
BALLARI,10.49,Bad,3.85,Bad,4.44,Bad,3.29,Bad
BELAGAVI,2.12,Bad,1.93,Good,2.13,Bad,7.43,Bad
BENGALURU RURAL,0.69,Good,0.86,Good,1.28,Good,2.95,Bad
BENGALURU URBAN,1.15,Good,1.04,Good,3.8,Bad,1.88,Good
BIDAR,5.1,Bad,3.48,Bad,10.19,Bad,3.15,Bad
CHAMARAJANAGARA,2.71,Bad,2.25,Bad,10.78,Bad,5.97,Bad
CHIKKABALLAPURA,2.52,Bad,2.74,Bad,5.75,Bad,8.05,Bad
CHIKKAMAGALURU,6.68,Bad,2.54,Bad,4.99,Bad,3.42,Bad
CHITRADURGA,8.98,Bad,5.47,Bad,7.48,Bad,5.31,Bad
DAKSHINA KANNADA,9.79,Bad,14.26,Bad,48.73,Bad,6.2,Bad
DAVANGERE,20.5,Bad,3.94,Bad,5.28,Bad,3.2,Bad
DHARWAD,2.44,Bad,2.23,Bad,1.95,Good,6.42,Bad
GADAG,3.48,Bad,2.46,Bad,4.2,Bad,2.37,Bad
HASSAN,3.33,Bad,8.61,Bad,8.22,Bad,6.62,Bad
HAVERI,7.08,Bad,2.89,Bad,7.59,Bad,3.75,Bad
KALABURAGI,28.65,Bad,18.34,Bad,7.85,Bad,8.62,Bad
KODAGU,8.72,Bad,1.42,Good,1.39,Good,1.31,Good
KOLAR,7.85,Bad,3.53,Bad,4.78,Bad,4.82,Bad
KOPPAL,4.08,Bad,4.04,Bad,6.59,Bad,2.76,Bad
MANDYA,2.48,Bad,2.26,Bad,2.06,Bad,7.51,Bad
MYSURU,23.95,Bad,6.43,Bad,5.37,Bad,13.52,Bad
RAICHUR,3.31,Bad,2.0,Bad,1.41,Good,1.75,Good
RAMANAGARA,8.37,Bad,1.48,Good,1.93,Good,4.1,Bad
SHIVAMOGGA,10.93,Bad,5.68,Bad,10.9,Bad,5.54,Bad
TUMAKURU,15.58,Bad,3.67,Bad,4.46,Bad,2.34,Bad
UDUPI,4.82,Bad,5.14,Bad,3.39,Bad,10.56,Bad
UTTARA KANNADA,1.14,Good,2.11,Bad,1.32,Good,1.43,Good
VIJAYANAGAR,0.27,Good,0.27,Good,0.27,Good,1.99,Good
VIJAYAPURA,5.15,Bad,5.66,Bad,11.81,Bad,6.84,Bad
YADGIR,2.27,Bad,2.02,Bad,5.42,Bad,2.19,Bad
